age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary,roledepartament,remotework,veterania
41,no,non-travel,,7.0,1,,11,2,Female,1,5,research director,3,married,1,no,22,"4,0",2,full time,2,11.318933823529411,3,3,21,5,10,199730.0,,no,+ de 10 años
56,no,travel_rarely,,23.0,3,life sciences,12,4,Male,3,4,manufacturing director,2,married,4,yes,12,"3,0",1,full time,1,33.0,0,3,19,15,9,134020.0,,no,+ de 10 años
38,no,travel_rarely,,10.0,3,medical,13,2,Female,1,3,research director,3,married,3,no,12,"3,0",1,full time,1,11.318933823529411,3,3,18,1,11,132060.0,,yes,+ de 10 años
41,yes,travel_rarely,,12.0,3,,14,2,Female,3,5,research director,3,married,1,no,12,"3,0",4,full time,0,11.318933823529411,0,3,22,15,8,195450.0,,no,+ de 10 años
55,no,travel_rarely,,14.0,4,medical,15,3,Male,4,5,research director,2,single,8,no,11,"3,0",4,part time,0,11.318933823529411,3,3,24,2,15,65245.87531343283,,no,+ de 10 años
40,no,travel_rarely,,2.0,4,,16,3,Female,3,5,manager,3,married,0,no,14,"3,0",4,full time,0,11.318933823529411,2,3,20,1,12,180410.0,,no,+ de 10 años
58,yes,travel_rarely,,2.0,4,,17,4,Male,3,5,research director,2,single,7,yes,12,"3,0",4,full time,0,40.0,2,3,31,13,8,192460.0,,no,+ de 10 años
46,no,travel_rarely,,2.0,3,,18,3,Female,3,4,manager,1,married,8,no,23,"4,0",1,part time,0,28.0,2,3,26,15,9,65245.87531343283,,no,+ de 10 años
35,no,travel_rarely,,8.89240506329114,5,life sciences,19,2,Male,4,2,research scientist,1,married,1,no,11,"3,0",4,part time,0,11.318933823529411,2,3,16,1,10,65245.87531343283,,no,+ de 10 años
40,no,travel_rarely,,15.0,3,life sciences,20,1,Female,2,3,manufacturing director,3,married,1,no,13,"3,0",4,part time,2,18.0,2,3,18,14,12,65245.87531343283,,no,+ de 10 años
45,no,non-travel,research & development,1.0,1,,21,3,Male,2,3,healthcare representative,3,married,3,no,23,"4,0",4,full time,1,25.0,3,2,23,14,4,107480.0,healthcare representative  -  research & development,no,+ de 10 años
33,no,travel_rarely,,1.0,2,life sciences,22,1,Female,3,3,research director,4,single,1,yes,12,"3,0",3,part time,0,15.0,1,3,15,8,12,100071.84,,no,+ de 10 años
36,no,travel_rarely,,8.0,3,,23,3,Female,3,3,healthcare representative,3,divorced,1,no,13,"3,0",2,part time,3,17.0,2,3,17,12,8,100071.84,,yes,+ de 10 años
47,no,travel_rarely,,2.0,2,other,24,3,Female,3,4,manager,4,married,1,no,11,"3,0",3,full time,1,11.318933823529411,3,2,26,3,0,167520.0,,no,+ de 10 años
36,no,travel_rarely,,8.89240506329114,2,life sciences,25,4,Male,3,2,sales executive,4,married,1,no,14,"3,0",4,full time,1,18.0,1,3,18,4,11,62010.0,,no,+ de 10 años
35,no,travel_rarely,,9.0,3,life sciences,26,4,Female,2,3,manufacturing director,3,married,1,yes,20,"4,0",2,part time,1,17.0,2,3,17,5,15,100071.84,,no,+ de 10 años
52,yes,travel_rarely,,2.0,1,,27,1,Female,1,5,manager,4,married,1,no,15,"3,0",4,full time,1,33.0,3,3,32,6,9,198450.0,,yes,+ de 10 años
36,no,travel_rarely,,2.0,4,life sciences,28,3,Female,3,2,manufacturing director,2,single,9,yes,11,"3,0",4,part time,0,18.0,2,3,16,5,12,53914.11,,no,+ de 10 años
33,no,travel_rarely,,28.0,4,life sciences,29,2,Male,3,2,laboratory technician,3,married,1,no,12,"3,0",2,part time,1,15.0,3,3,15,5,7,53914.11,,yes,+ de 10 años
34,no,non-travel,sales,10.0,3,life sciences,30,4,Male,3,2,sales executive,3,married,1,yes,14,"3,0",3,part time,1,15.0,3,3,15,0,7,40010.0,sales executive  -  sales,yes,+ de 10 años
41,no,travel_rarely,sales,8.89240506329114,1,,31,3,Female,3,3,sales executive,3,divorced,0,no,13,"3,0",4,full time,1,11.318933823529411,3,4,22,13,5,104470.0,sales executive  -  sales,yes,+ de 10 años
47,no,travel_rarely,research & development,25.0,3,medical,32,1,Male,3,3,healthcare representative,3,married,2,no,23,"4,0",2,part time,0,25.0,3,3,17,12,11,65245.87531343283,healthcare representative  -  research & development,yes,+ de 10 años
53,no,travel_rarely,,5.0,3,,33,3,Female,3,5,manager,3,married,4,no,11,"3,0",4,full time,1,26.0,3,2,14,4,8,191324.62,,yes,+ de 10 años
35,no,travel_rarely,,1.0,4,marketing,34,3,Male,2,2,sales executive,1,single,0,no,14,"3,0",2,part time,0,16.0,2,3,15,2,8,53914.11,,no,+ de 10 años
34,no,travel_rarely,,6.0,4,other,35,1,Female,3,2,research scientist,3,single,1,no,14,"3,0",3,part time,0,16.0,3,3,16,2,10,65245.87531343283,,no,+ de 10 años
46,no,travel_rarely,,1.0,2,,36,2,Female,3,3,sales executive,1,divorced,1,no,25,"4,0",3,part time,3,24.0,2,3,24,15,7,100071.84,,yes,+ de 10 años
43,no,travel_rarely,,16.0,3,,37,4,Female,3,4,manager,4,married,5,no,22,"4,0",3,full time,1,22.0,3,3,17,1,9,160640.0,,yes,+ de 10 años
36,no,travel_rarely,research & development,6.0,3,life sciences,38,4,Male,3,1,laboratory technician,4,married,0,no,11,"3,0",3,full time,1,16.0,4,3,15,10,11,32100.0,laboratory technician  -  research & development,no,+ de 10 años
60,no,travel_frequently,,28.0,3,,39,3,Female,2,3,sales executive,1,married,4,no,19,"3,0",4,full time,0,22.0,5,4,18,13,11,102660.0,,yes,+ de 10 años
40,no,travel_frequently,,5.0,4,,40,4,Male,2,3,sales executive,1,married,5,yes,21,"4,0",3,full time,1,20.0,2,3,18,1,12,104750.0,,no,+ de 10 años
32,no,travel_rarely,,4.0,3,,41,3,Female,2,2,manufacturing director,3,married,1,no,12,"3,0",3,full time,1,14.0,3,3,14,6,8,61620.0,,no,+ de 10 años
41,no,travel_rarely,,8.89240506329114,3,,42,3,Male,3,1,laboratory technician,1,single,2,yes,13,"3,0",3,full time,0,20.0,3,3,18,2,17,47210.0,,yes,+ de 10 años
53,no,travel_rarely,,2.0,2,medical,43,3,Male,3,4,manager,3,divorced,6,no,13,"3,0",3,full time,1,22.0,3,4,17,15,2,153407.07,,no,+ de 10 años
36,yes,travel_rarely,,16.0,4,,44,3,Female,4,1,laboratory technician,1,single,1,no,16,"3,0",3,part time,0,18.0,1,3,17,15,14,28111.13,,yes,+ de 10 años
46,no,travel_rarely,,8.0,4,life sciences,45,4,Female,2,2,research scientist,1,divorced,8,yes,23,"4,0",1,part time,3,11.318933823529411,2,3,16,1,7,46150.0,,no,+ de 10 años
38,no,travel_rarely,,1.0,4,,46,4,Male,3,2,sales executive,2,married,0,no,15,"3,0",1,part time,2,16.0,3,3,15,5,8,53914.11,,yes,+ de 10 años
51,no,travel_rarely,,1.0,4,,47,1,Female,2,3,healthcare representative,1,single,3,no,20,"4,0",3,part time,0,23.0,1,2,13,12,8,100071.84,,no,+ de 10 años
43,no,travel_rarely,,26.0,2,,48,3,Male,3,4,manager,4,married,1,yes,12,"3,0",4,full time,2,25.0,3,4,25,4,12,169590.0,,yes,+ de 10 años
37,no,travel_rarely,,1.0,3,life sciences,49,4,Female,3,1,research scientist,4,single,1,no,12,"3,0",2,part time,0,11.318933823529411,3,3,17,5,7,28111.13,,yes,+ de 10 años
32,no,travel_rarely,,8.0,2,technical degree,50,3,Female,2,2,sales executive,2,married,1,yes,11,"3,0",4,part time,0,11.318933823529411,2,3,13,11,9,53914.11,,no,+ de 10 años
38,no,travel_rarely,,1.0,3,,51,4,Female,3,3,research director,1,married,1,no,13,"3,0",2,part time,1,15.0,3,3,15,5,11,100071.84,,no,+ de 10 años
46,no,travel_rarely,,3.0,3,life sciences,52,3,Female,3,4,manager,2,married,8,no,12,"3,0",4,full time,1,23.0,2,4,13,5,1,153407.07,,yes,+ de 10 años
35,yes,travel_rarely,,10.0,3,medical,53,4,Male,2,3,sales executive,1,married,9,no,17,"3,0",3,part time,0,15.0,3,3,13,6,0,65245.87531343283,,no,+ de 10 años
43,no,travel_rarely,,6.0,3,medical,54,1,Female,2,5,manager,3,married,7,no,13,"3,0",4,part time,0,21.0,2,3,16,6,14,65245.87531343283,,yes,+ de 10 años
56,no,non-travel,,1.0,4,life sciences,55,3,Male,3,2,healthcare representative,3,divorced,1,no,21,"3,0",1,part time,1,11.318933823529411,2,2,13,1,9,65245.87531343283,,yes,+ de 10 años
36,no,non-travel,,15.0,4,marketing,56,4,Male,1,2,sales executive,4,divorced,1,no,24,"4,0",1,full time,1,11.318933823529411,4,2,15,11,11,54060.0,,yes,+ de 10 años
38,no,travel_rarely,,6.0,3,medical,57,2,Female,1,2,research scientist,4,married,7,no,12,"3,0",4,part time,3,17.0,3,3,13,1,9,53914.11,,yes,+ de 10 años
49,no,travel_rarely,,8.89240506329114,4,medical,58,3,Female,3,2,manufacturing director,1,married,1,no,14,"3,0",3,part time,0,16.0,2,2,15,5,11,53914.11,,no,+ de 10 años
39,no,travel_rarely,,4.0,4,life sciences,59,4,Female,2,2,sales executive,3,married,4,no,14,"3,0",3,full time,1,17.0,1,4,15,5,9,59020.0,,yes,+ de 10 años
40,no,travel_rarely,,4.0,4,,60,3,Male,2,3,sales executive,4,married,7,no,11,"3,0",1,full time,1,15.0,2,2,12,2,11,108550.0,,yes,+ de 10 años
36,no,travel_rarely,,5.0,2,,61,4,Male,3,2,laboratory technician,2,single,8,no,16,"3,0",4,full time,0,16.0,3,4,13,3,7,59140.0,,yes,+ de 10 años
37,no,travel_rarely,,25.0,5,,62,2,Female,3,2,research scientist,3,married,3,yes,15,"3,0",1,part time,2,15.0,2,3,13,10,7,53914.11,,no,+ de 10 años
35,no,travel_rarely,,6.0,4,,63,2,Male,1,2,research scientist,4,married,1,no,13,"3,0",2,full time,0,11.318933823529411,3,3,17,11,8,66460.0,,yes,+ de 10 años
33,no,travel_frequently,,6.0,3,life sciences,64,3,Male,3,2,healthcare representative,4,divorced,3,no,23,"4,0",3,part time,1,15.0,2,1,13,4,7,53914.11,,no,+ de 10 años
50,no,travel_rarely,research & development,24.0,3,,65,4,Male,3,4,manufacturing director,3,married,3,yes,18,"3,0",4,full time,1,22.0,2,3,12,1,5,139730.0,manufacturing director  -  research & development,no,+ de 10 años
48,no,travel_rarely,,4.0,4,,66,3,Male,2,3,healthcare representative,3,single,7,no,14,"3,0",2,part time,0,27.0,3,3,15,4,8,100071.84,,yes,+ de 10 años
44,no,travel_rarely,sales,28.0,3,,67,4,Female,4,4,sales executive,4,married,3,no,18,"3,0",3,part time,1,11.318933823529411,2,3,12,11,11,65245.87531343283,sales executive  -  sales,yes,+ de 10 años
44,no,travel_rarely,,29.0,4,,68,4,Male,3,2,research scientist,4,single,1,no,25,"4,0",2,part time,0,11.318933823529411,3,3,20,13,17,53914.11,,yes,+ de 10 años
40,no,travel_rarely,,8.89240506329114,1,,69,2,Female,4,2,healthcare representative,3,married,5,no,20,"4,0",2,part time,3,15.0,0,3,12,11,8,53914.11,,no,+ de 10 años
34,no,travel_rarely,,2.0,4,,70,3,Female,3,2,healthcare representative,4,single,1,no,11,"3,0",4,full time,0,14.0,2,4,14,4,11,66870.0,,no,+ de 10 años
35,no,non-travel,research & development,8.0,4,,71,3,Female,3,2,healthcare representative,3,married,1,no,12,"3,0",4,part time,1,11.318933823529411,5,3,14,2,9,53914.11,healthcare representative  -  research & development,no,+ de 10 años
50,no,travel_rarely,,17.0,5,life sciences,72,4,Female,2,3,research director,1,married,5,no,15,"3,0",3,part time,3,11.318933823529411,3,3,14,1,11,100071.84,,no,+ de 10 años
49,no,travel_rarely,,6.0,1,life sciences,73,3,Female,2,4,healthcare representative,3,married,2,no,19,"3,0",2,full time,1,11.318933823529411,3,3,15,2,12,153407.07,,yes,+ de 10 años
38,no,travel_frequently,,1.0,3,life sciences,74,4,Male,3,2,research scientist,4,married,7,no,15,"3,0",4,part time,2,19.0,4,3,13,2,9,47350.0,,no,+ de 10 años
33,no,travel_rarely,,21.0,3,,75,2,Male,4,1,laboratory technician,2,married,1,no,18,"3,0",4,part time,3,14.0,6,3,14,2,13,28111.13,,no,+ de 10 años
47,no,travel_rarely,,4.0,3,life sciences,76,3,Female,2,3,manufacturing director,2,divorced,8,yes,12,"3,0",3,part time,1,11.318933823529411,4,3,22,14,10,100071.84,,yes,+ de 10 años
38,no,travel_rarely,research & development,8.0,3,,77,4,Female,2,2,research scientist,2,divorced,1,no,16,"3,0",3,part time,1,20.0,3,3,20,0,7,65245.87531343283,research scientist  -  research & development,no,+ de 10 años
37,no,travel_rarely,,10.0,3,life sciences,78,3,Female,4,3,research director,4,married,1,yes,25,"4,0",1,part time,1,16.0,2,3,16,6,8,100071.84,,yes,+ de 10 años
30,no,travel_rarely,,2.0,3,,79,3,Male,2,2,healthcare representative,4,married,1,no,19,"3,0",1,part time,3,11.0,3,3,11,10,8,53914.11,,yes,+ de 10 años
58,no,travel_rarely,,8.89240506329114,4,,80,4,Male,3,4,sales executive,3,single,0,no,13,"3,0",3,full time,0,38.0,1,2,37,1,8,138720.0,,yes,+ de 10 años
34,no,travel_rarely,,5.0,3,,81,3,Female,2,3,manager,1,single,2,no,12,"3,0",4,part time,0,14.0,6,3,11,5,8,65245.87531343283,,no,+ de 10 años
58,yes,travel_rarely,,23.0,4,medical,82,4,Female,3,3,healthcare representative,4,married,1,no,12,"3,0",4,part time,1,40.0,3,2,40,15,6,100071.84,,yes,+ de 10 años
38,no,travel_rarely,,3.0,3,life sciences,83,1,Male,3,3,sales executive,3,divorced,0,no,12,"3,0",3,part time,2,11.318933823529411,6,2,16,5,13,65245.87531343283,,yes,+ de 10 años
29,no,travel_frequently,,1.0,1,,84,2,Female,3,3,sales executive,4,married,1,no,14,"3,0",4,part time,1,11.0,5,3,11,4,1,100071.84,,no,+ de 10 años
55,no,travel_rarely,,1.0,3,medical,85,4,Male,3,5,manager,1,single,0,no,14,"3,0",3,full time,0,37.0,2,3,36,4,13,190450.0,,yes,+ de 10 años
41,no,travel_rarely,,8.89240506329114,4,,86,4,Male,3,4,manager,2,married,1,no,19,"3,0",2,part time,0,11.318933823529411,2,3,22,0,4,65245.87531343283,,yes,+ de 10 años
39,no,travel_rarely,research & development,1.0,3,,87,3,Male,4,3,healthcare representative,4,married,0,no,17,"3,0",1,part time,3,19.0,5,2,18,3,7,96130.0,healthcare representative  -  research & development,no,+ de 10 años
38,no,travel_rarely,,15.0,2,life sciences,88,3,Male,2,3,research director,4,married,0,no,14,"3,0",2,full time,1,11.318933823529411,3,3,11,2,9,115100.0,,yes,+ de 10 años
43,no,travel_rarely,,12.0,3,,89,1,Male,2,4,research director,2,married,1,no,11,"3,0",3,full time,1,11.318933823529411,3,3,25,3,9,153407.07,,no,+ de 10 años
31,no,travel_rarely,,8.89240506329114,2,,90,2,Female,3,2,manufacturing director,1,married,1,no,12,"3,0",2,part time,1,13.0,5,1,13,3,12,65245.87531343283,,yes,+ de 10 años
50,no,travel_rarely,research & development,8.89240506329114,4,life sciences,91,2,Male,2,4,manager,3,married,0,no,15,"3,0",2,full time,1,28.0,2,3,27,15,7,170460.0,manager  -  research & development,no,+ de 10 años
35,no,travel_rarely,,25.0,3,technical degree,92,4,Male,2,3,manufacturing director,2,married,3,no,16,"3,0",1,part time,0,11.318933823529411,2,3,13,4,8,100071.84,,no,+ de 10 años
47,no,travel_rarely,,16.0,4,,93,3,Male,4,2,manufacturing director,3,married,1,yes,19,"3,0",3,part time,0,20.0,3,3,19,2,7,65245.87531343283,,yes,+ de 10 años
35,no,travel_rarely,research & development,25.0,4,,94,3,Female,3,3,healthcare representative,3,divorced,1,yes,11,"3,0",3,part time,1,11.318933823529411,3,2,16,10,1,100071.84,healthcare representative  -  research & development,yes,+ de 10 años
40,no,travel_rarely,,20.0,4,,95,1,Male,3,3,healthcare representative,4,married,4,no,20,"4,0",4,part time,1,14.0,6,3,11,11,1,100071.84,,yes,+ de 10 años
45,no,travel_rarely,sales,9.0,4,life sciences,96,2,Female,2,2,sales executive,3,married,1,no,13,"3,0",4,part time,1,15.0,2,3,15,4,12,53914.11,sales executive  -  sales,no,+ de 10 años
33,no,travel_rarely,research & development,9.0,3,medical,97,1,Male,3,1,research scientist,4,married,0,no,13,"3,0",2,part time,1,15.0,5,3,14,4,10,28111.13,research scientist  -  research & development,no,+ de 10 años
36,no,travel_frequently,,3.0,3,,98,3,Male,3,1,research scientist,2,married,1,no,12,"3,0",3,full time,0,12.0,2,2,11,0,7,36920.0,,no,+ de 10 años
45,yes,travel_rarely,,8.89240506329114,3,marketing,99,1,Female,1,5,manager,2,married,2,yes,16,"3,0",1,full time,0,26.0,2,3,24,1,11,191324.62,,no,+ de 10 años
51,no,travel_frequently,,8.89240506329114,3,,100,2,Male,3,5,manager,2,married,4,yes,24,"3,0",1,full time,1,11.318933823529411,5,2,29,11,10,198470.0,,no,+ de 10 años
34,no,travel_rarely,,7.0,2,technical degree,101,2,Male,3,1,sales representative,3,married,0,yes,25,"4,0",2,part time,1,12.0,4,3,11,5,7,23080.0,,no,+ de 10 años
43,no,travel_rarely,research & development,15.0,2,,102,3,Male,2,4,research director,3,married,1,no,24,"4,0",1,full time,1,11.318933823529411,3,3,14,6,11,153407.07,research director  -  research & development,yes,+ de 10 años
34,no,travel_rarely,,5.0,2,medical,103,2,Male,2,2,laboratory technician,4,married,1,no,14,"3,0",3,part time,1,11.318933823529411,3,3,15,4,13,53914.11,,no,+ de 10 años
38,no,travel_rarely,,2.0,3,,104,1,Male,3,1,human resources,2,divorced,5,no,13,"3,0",4,part time,3,13.0,3,3,11,3,8,28111.13,,yes,+ de 10 años
48,no,travel_rarely,,10.0,3,,105,4,Male,2,5,research director,2,married,4,no,12,"3,0",4,full time,0,29.0,3,3,22,12,9,191324.62,,no,+ de 10 años
34,no,travel_rarely,research & development,22.0,4,other,106,3,Male,2,2,research scientist,4,married,1,yes,15,"3,0",2,full time,0,16.0,3,3,15,6,11,57470.0,research scientist  -  research & development,no,+ de 10 años
32,no,travel_rarely,,8.89240506329114,4,,107,3,Female,3,3,sales executive,4,married,1,no,19,"3,0",3,full time,2,14.0,3,3,14,5,7,104220.0,,yes,+ de 10 años
29,no,travel_rarely,,21.0,4,life sciences,108,2,Female,4,3,manufacturing director,1,divorced,1,no,11,"3,0",3,part time,1,10.0,1,3,10,8,8,65245.87531343283,,no,-= de 10 años
46,no,travel_rarely,,1.0,3,medical,109,3,Male,2,3,healthcare representative,1,married,2,yes,13,"3,0",3,part time,1,21.0,5,2,10,9,5,100071.84,,no,-= de 10 años
30,no,travel_rarely,human resources,9.0,3,,110,3,Male,3,2,human resources,4,married,0,yes,19,"3,0",4,full time,0,11.318933823529411,2,1,11,4,7,63470.0,human resources  -  human resources,no,+ de 10 años
45,no,travel_rarely,,9.0,3,life sciences,111,2,Male,3,2,laboratory technician,2,married,8,no,18,"3,0",3,part time,1,20.0,2,3,17,0,15,23480.0,,yes,+ de 10 años
30,no,travel_rarely,,5.0,3,,112,2,Female,3,3,sales executive,4,married,2,no,12,"3,0",3,part time,1,11.318933823529411,2,3,10,7,4,100071.84,,no,-= de 10 años
30,no,travel_rarely,,9.0,3,,113,3,Male,3,2,laboratory technician,1,married,1,no,11,"3,0",3,part time,2,12.0,4,3,12,6,10,30720.0,,yes,+ de 10 años
34,no,travel_frequently,,8.89240506329114,1,,114,4,Male,2,2,manufacturing director,3,married,1,no,17,"3,0",3,part time,0,10.0,2,2,10,1,9,65245.87531343283,,no,-= de 10 años
51,no,travel_rarely,,8.0,4,life sciences,115,2,Male,2,3,research director,2,married,5,no,16,"3,0",4,full time,2,16.0,5,1,10,4,7,124900.0,,no,-= de 10 años
34,no,travel_rarely,,8.89240506329114,4,life sciences,116,3,Male,2,2,manufacturing director,1,married,6,no,13,"3,0",2,part time,1,13.0,3,3,11,5,9,53914.11,,yes,+ de 10 años
35,no,travel_rarely,,16.0,3,,117,3,Male,3,3,sales executive,2,married,0,no,15,"3,0",3,part time,2,12.0,3,2,11,6,9,80200.0,,yes,+ de 10 años
45,no,travel_frequently,,7.0,3,life sciences,118,1,Male,3,3,laboratory technician,1,married,1,no,18,"3,0",1,part time,1,24.0,2,3,24,9,11,100071.84,,yes,+ de 10 años
39,no,travel_rarely,,10.0,1,,119,3,Male,3,4,manager,1,married,1,no,14,"3,0",4,full time,0,21.0,3,3,21,11,10,170680.0,,yes,+ de 10 años
31,no,travel_rarely,,7.0,2,,120,3,Female,2,3,manufacturing director,3,married,1,no,24,"4,0",1,part time,1,10.0,2,3,10,8,9,89430.0,,no,-= de 10 años
39,no,travel_rarely,research & development,7.0,2,,121,3,Male,2,5,manager,4,married,1,no,15,"3,0",1,full time,1,11.318933823529411,2,3,21,13,3,192720.0,manager  -  research & development,no,+ de 10 años
45,no,travel_rarely,,8.0,4,,122,4,Male,3,2,research scientist,4,married,9,no,14,"3,0",1,part time,2,12.0,3,3,10,9,8,53914.11,,no,-= de 10 años
30,no,travel_rarely,sales,5.0,3,marketing,123,4,Female,2,2,sales executive,3,married,1,no,13,"3,0",3,part time,3,10.0,2,3,10,1,2,65245.87531343283,sales executive  -  sales,yes,-= de 10 años
31,no,travel_rarely,,7.0,4,medical,124,3,Female,3,3,manufacturing director,4,married,1,no,14,"3,0",3,part time,0,11.0,2,2,11,4,10,100071.84,,no,+ de 10 años
36,no,travel_rarely,,3.0,4,medical,125,1,Male,2,3,sales executive,4,married,4,no,11,"3,0",1,part time,1,16.0,2,3,13,1,12,100071.84,,no,+ de 10 años
36,no,travel_rarely,,2.0,2,,126,2,Male,2,3,sales executive,3,married,1,no,13,"3,0",2,part time,2,10.0,2,3,10,9,0,100071.84,,no,-= de 10 años
55,no,travel_rarely,,18.0,5,,127,1,Female,3,4,manager,2,single,3,no,23,"4,0",4,full time,0,37.0,2,3,10,7,7,153407.07,,yes,-= de 10 años
35,no,travel_rarely,,1.0,3,,128,2,Male,3,2,sales executive,3,married,9,no,11,"3,0",3,part time,0,15.0,2,3,11,6,9,53914.11,,yes,+ de 10 años
42,no,travel_rarely,,24.0,3,medical,129,4,Male,3,3,manufacturing director,1,married,1,no,21,"4,0",4,part time,1,10.0,5,2,10,5,8,100071.84,,no,-= de 10 años
52,no,travel_rarely,,6.0,2,,130,4,Male,3,2,research scientist,1,divorced,3,yes,12,"3,0",2,full time,2,18.0,3,3,10,6,9,55770.0,,yes,-= de 10 años
49,no,travel_rarely,,18.0,4,life sciences,131,4,Male,2,5,research director,3,married,1,yes,17,"3,0",3,full time,1,11.318933823529411,5,3,31,0,9,191324.62,,yes,+ de 10 años
34,no,travel_rarely,research & development,1.0,5,,132,2,Male,3,1,research scientist,4,married,1,no,12,"3,0",4,part time,1,11.318933823529411,4,2,10,8,8,26910.0,research scientist  -  research & development,yes,-= de 10 años
33,yes,travel_rarely,,1.0,4,other,133,4,Male,3,1,research scientist,4,single,1,no,13,"3,0",3,part time,0,10.0,2,2,10,7,8,28111.13,,no,-= de 10 años
33,no,travel_rarely,research & development,7.0,3,medical,134,3,Male,3,3,research director,3,married,0,no,11,"3,0",4,part time,0,11.318933823529411,3,4,13,3,7,65245.87531343283,research director  -  research & development,no,+ de 10 años
53,no,travel_rarely,,23.0,4,,135,4,Female,3,4,research director,4,married,6,no,18,"3,0",3,full time,0,33.0,0,3,12,3,8,153407.07,,yes,+ de 10 años
49,no,travel_rarely,,8.0,2,other,136,1,Female,3,3,laboratory technician,2,married,4,no,11,"3,0",3,part time,1,29.0,3,2,26,1,7,74030.0,,no,+ de 10 años
35,no,travel_rarely,,8.89240506329114,4,,137,2,Male,3,3,sales executive,4,married,6,no,13,"3,0",2,part time,1,11.318933823529411,2,3,10,0,8,100071.84,,no,-= de 10 años
38,no,travel_rarely,,17.0,1,life sciences,138,3,Female,2,3,healthcare representative,3,married,0,no,18,"3,0",1,part time,1,20.0,4,2,19,1,9,88230.0,,no,+ de 10 años
46,no,travel_rarely,sales,3.0,1,marketing,139,1,Male,3,4,manager,3,married,3,no,12,"3,0",4,full time,1,11.318933823529411,3,3,12,4,9,153407.07,manager  -  sales,no,+ de 10 años
36,no,non-travel,,18.0,4,,140,1,Male,3,2,manufacturing director,4,single,2,no,20,"4,0",1,part time,0,18.0,0,3,11,0,9,53914.11,,no,+ de 10 años
42,yes,travel_frequently,,8.89240506329114,3,life sciences,141,1,Male,3,4,sales executive,1,single,0,no,12,"3,0",2,full time,0,11.318933823529411,2,2,21,13,14,153407.07,,yes,+ de 10 años
34,no,travel_frequently,,1.0,3,,142,4,Male,2,2,healthcare representative,1,single,0,no,20,"4,0",3,part time,0,14.0,3,3,13,4,9,65245.87531343283,,yes,+ de 10 años
30,no,travel_rarely,research & development,1.0,3,medical,143,4,Male,3,1,research scientist,2,married,0,yes,21,"4,0",1,part time,1,12.0,2,3,11,5,7,35790.0,research scientist  -  research & development,yes,+ de 10 años
54,no,travel_rarely,,3.0,3,life sciences,144,4,Male,3,4,research director,4,married,3,no,14,"3,0",1,full time,0,36.0,2,3,10,0,9,177790.0,,yes,-= de 10 años
31,no,travel_rarely,,24.0,3,medical,145,3,Female,2,2,healthcare representative,1,single,1,no,19,"3,0",2,part time,0,10.0,2,3,10,1,8,53914.11,,no,-= de 10 años
